Time,Jogos,Vitorias,Derrotas,Minutos,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST/TO,AST_RATIO,O_REB_PCT,D_REB_PCT,REB_PCT,TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,POSS
Phoenix Suns,49,40,9,2357.0,"112,8","104,9","7,8","0,62","1,99",19,"0,268","0,725","0,505","0,133","0,542","0,9985","99,85","55,2","4,904"
Golden State Warriors,50,37,13,2410.0,"110,9","102,7","8,2","0,686","1,77","19,7","0,275","0,738","0,515","0,157","0,547","0,9893","98,93","55,4","4,968"
Memphis Grizzlies,52,35,17,2506.0,"111,8","108,3","3,5","0,591","1,86","17,6","0,33","0,73","0,525","0,135","0,516","0,9965","99,65","52,1","5,209"
Miami Heat,50,32,18,2425.0,"112,3","107,6","4,7","0,655","1,74","18,9","0,294","0,737","0,517","0,153","0,539","0,9617","96,17","52,9","4,858"
Chicago Bulls,49,31,18,2352.0,"112,2","110,4","1,8","0,587","1,85","18,1","0,245","0,735","0,494","0,133","0,542","0,989","98,9","50,4","4,847"
Milwaukee Bucks,52,31,21,2506.0,"111,4","108,5","2,9","0,571","1,65","16,9","0,267","0,734","0,505","0,139","0,534","0,9991","99,91","51,5","5,217"
Cleveland Cavaliers,50,30,20,2400.0,"110,1","105,3","4,8","0,642","1,7","18,8","0,279","0,727","0,51","0,154","0,537","0,9727","97,27","53,1","4,863"
Philadelphia 76ers,49,30,19,2367.0,"111,2","108,5","2,7","0,583","1,84","17,5","0,241","0,717","0,485","0,129","0,528","0,9626","96,26","51,5","4,741"
Utah Jazz,51,30,21,2448.0,"115,3","109,5","5,8","0,544","1,53","16,5","0,285","0,737","0,52","0,146","0,557","0,9846","98,46","52,7","5,022"
Brooklyn Nets,49,29,20,2362.0,112,110,2,"0,61","1,79","18,4","0,274","0,708","0,501","0,142","0,534","0,9952","99,52","52,1","4,893"
Dallas Mavericks,51,29,22,2458.0,"109,8",107,"2,9","0,612","1,9",18,"0,255","0,744","0,499","0,13","0,524","0,9624","96,24",51,"4,926"
Charlotte Hornets,51,28,23,2468.0,"112,4","112,5","-0,1","0,639","2,09","19,1","0,262","0,71","0,481","0,127","0,538","1,0108","101,08",50,"5,196"
Denver Nuggets,49,28,21,2362.0,"111,3","109,3",2,"0,664","1,94","19,7","0,263","0,753","0,51","0,143","0,545","0,9744","97,44","51,4","4,799"
Boston Celtics,51,26,25,2488.0,"109,1","106,3","2,8","0,588","1,63",17,"0,277","0,731","0,506","0,143","0,518","0,9705","97,05",52,"5,034"
LA Clippers,52,26,26,2506.0,"106,7","107,2","-0,6","0,592","1,61","17,2","0,251","0,705","0,485","0,145","0,52","0,9891","98,91","49,7","5,164"
Minnesota Timberwolves,50,25,25,2415.0,"110,4","109,3","1,1","0,603","1,65","17,3","0,296","0,702","0,491","0,147","0,521","1,0049","100,49","49,3","5,053"
Atlanta Hawks,49,24,25,2352.0,"113,5",113,"0,6","0,592","1,97","17,9","0,261","0,738","0,503","0,125","0,538","0,9849","98,49","50,5","4,823"
Los Angeles Lakers,51,24,27,2488.0,"108,5","110,2","-1,7","0,58","1,63","17,3","0,256","0,719","0,491","0,144","0,532","1,0059","100,59","49,1","5,216"
Toronto Raptors,47,24,23,2276.0,"110,6","109,9","0,8","0,551","1,72","16,1","0,328","0,701","0,503","0,132","0,504","0,9625","96,25","48,9","4,566"
New York Knicks,50,23,27,2410.0,"108,1","109,5","-1,5","0,569","1,57","16,1","0,287","0,734","0,509","0,141","0,513","0,9548","95,48","48,6","4,804"
Washington Wizards,49,23,26,2372.0,109,"111,4","-2,4","0,601","1,8","17,9","0,249","0,731","0,496","0,136","0,524","0,9796","97,96","49,9","4,838"
Portland Trail Blazers,50,21,29,2405.0,"110,3","114,4",-4,"0,583","1,64",17,"0,264","0,741","0,497","0,141","0,531","0,9841","98,41","47,6","4,937"
San Antonio Spurs,51,19,32,2463.0,"110,5","110,4","0,1","0,643","2,21","19,5","0,282","0,711","0,495","0,125","0,523","1,002","100,2","50,9","5,138"
Indiana Pacers,51,18,33,2478.0,"109,9","112,1","-2,2","0,602","1,68","17,6","0,304","0,733","0,515","0,146","0,522","0,9758","97,58","48,8","5,04"
New Orleans Pelicans,49,18,31,2362.0,"107,5","111,6","-4,1","0,638","1,72","17,9","0,294","0,751","0,514","0,145","0,501","0,9794","97,94",48,"4,811"
Sacramento Kings,51,18,33,2463.0,"109,1","114,2","-5,1","0,567","1,65","16,7","0,276","0,705","0,488","0,139","0,518","0,998","99,8","46,9","5,12"
Houston Rockets,49,14,35,2357.0,"106,7",115,"-8,3","0,592","1,35","16,7","0,267","0,718","0,492","0,167","0,528","1,0136","101,36","45,4","4,975"
Oklahoma City Thunder,48,14,34,2309.0,"101,7",109,"-7,3","0,562","1,57","15,7","0,255","0,725","0,485","0,135","0,482","0,9883","98,83",45,"4,753"
Detroit Pistons,49,12,37,2362.0,"102,8",112,"-9,2","0,604","1,53","16,5","0,262","0,712","0,475","0,147","0,485","0,9915","99,15","44,1","4,877"
Orlando Magic,51,11,40,2453.0,"103,6","111,5","-7,9","0,603","1,54","16,9","0,26","0,728","0,49","0,15","0,499","0,9881","98,81","45,4","5,05"
