Time,Jogos,Vitorias,Derrotas,Pct_vitorias,Minutos_g,PTS,FGM,FGA,FG_PCT,3PTM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFDRAW,PLUS_MINUS
Phoenix Suns,49,40,9,"0,816","48,1","112,9","42,7","89,5","0,477","11,6","31,7","0,367","15,9",20,"0,794","10,2","35,9","46,1","26,4","13,3","8,6","4,2","4,1","19,3","19,2","7,9"
Golden State Warriors,50,37,13,"0,740","48,2","110,2","40,2","86,5","0,465","14,3","39,9","0,358","15,5","20,4","0,759","10,1","36,7","46,7","27,6","15,6","9,4","4,9","4,1","20,3","17,8","8,2"
Memphis Grizzlies,52,35,17,"0,673","48,2",112,"42,4","92,8","0,456","11,1","32,5","0,34","16,2","21,9","0,74","13,5","34,8","48,3",25,"13,5","10,1","6,5","6,3","19,2","18,9","3,8"
Miami Heat,50,32,18,"0,640","48,5","109,1","39,4","85,8","0,46","13,6","36,2","0,377","16,6","20,4","0,811","10,9","33,9","44,8","25,8","14,8","7,4","3,3","4,4","20,3",20,"4,5"
Chicago Bulls,49,31,18,"0,633","48,0",111,"41,4","86,9","0,476","11,4","30,2","0,376","16,9","20,8","0,811","8,8",34,"42,8","24,3","13,2","7,4","4,6","5,2","18,9","17,8","1,8"
Philadelphia 76ers,49,30,19,"0,612","48,3","107,6","39,4",85,"0,463","11,1","31,2","0,355","17,8",22,"0,81","8,4","33,8","42,2",23,"12,5","7,8","5,6","4,7",19,"19,1","2,3"
Cleveland Cavaliers,50,30,20,"0,600","48,0","107,1","39,7","85,2","0,467","11,9",34,"0,351","15,7","20,8","0,755","10,3","34,9","45,2","25,5",15,"7,2","4,3","4,6","16,6",19,"4,6"
Milwaukee Bucks,52,31,21,"0,596","48,2","111,8","40,3","88,8","0,454","14,1","39,2","0,359",17,"21,8","0,781","10,4","36,4","46,8",23,"13,9","7,7","4,3","4,5","17,9","19,2","2,9"
Brooklyn Nets,49,29,20,"0,592","48,2","111,9","41,7","88,4","0,471","11,1","31,4","0,352","17,4","21,2","0,822",10,"35,4","45,5","25,4","14,2",7,"5,5","5,2","19,9","19,4","1,8"
Utah Jazz,51,30,21,"0,588","48,0","113,5","40,5","85,9","0,471","14,7","40,3","0,364","17,9","23,1","0,777","10,2","35,7","45,9",22,"14,4",7,"4,8","4,2",19,"20,3","5,7"
Denver Nuggets,49,28,21,"0,571","48,2",109,"40,8","86,6","0,471","12,8","36,3","0,352","14,6","18,7","0,781","8,9","34,4","43,3","27,1",14,"7,3","3,7","4,8","19,3","19,3","2,1"
